subid, subage, gender, group, code, cong, targ, resp, unknown, trial, block, Acc, RT, pause_time,,,,,
102,25, F, adult, CCC,0,21,104,1,1,1,1,592.75,16.8, ,,,,
102,25, F, adult, BAB,1,26,100,1,2,1,1,592.03,113.56, ,,,,
102,25, F, adult, CDC,1,22,98,1,3,1,1,674.16,209.67, ,,,,
102,25, F, adult, BBB,0,25,102,1,4,1,1,447.84,224.71, ,,,,
102,25, F, adult, DDD,0,19,98,1,5,1,1,541.86,219.7, ,,,,
102,25, F, adult, BAB,1,26,100,1,6,1,1,586.22,163.44, ,,,,
102,25, F, adult, CCC,0,21,104,1,7,1,1,501.33,233.61, ,,,,
102,25, F, adult, BAB,1,26,100,1,8,1,1,559.74,251.12, ,,,,
102,25, F, adult, CCC,0,21,104,1,9,1,1,424.55,199.96, ,,,,
102,25, F, adult, BBB,0,25,102,1,10,1,1,376.23,49.62, ,,,,
102,25, F, adult, CCC,0,21,104,1,11,1,1,461.94,23.83, ,,,,
102,25, F, adult, BAB,1,26,100,1,12,1,1,556.96,0.4, ,,,,
102,25, F, adult, DCD,1,20,98,1,13,1,0,600.32,543.95, ,,,,
102,25, F, adult, ABA,1,24,102,1,14,1,1,617.26,354.93, ,,,,
102,25, F, adult, DCD,1,20,104,1,15,1,1,716.09,240.14, ,,,,
102,25, F, adult, AAA,0,23,100,1,16,1,1,454.77,221.69, ,,,,
102,25, F, adult, CCC,0,21,104,1,17,1,1,421.45,301.11, ,,,,
102,25, F, adult, BBB,0,25,102,1,18,1,1,424.32,88.78, ,,,,
102,25, F, adult, CCC,0,21,104,1,19,1,1,456.8,226.78, ,,,,
102,25, F, adult, BAB,1,26,100,1,20,1,1,631.86,241.23, ,,,,
102,25, F, adult, CDC,1,22,98,1,21,1,1,1374.81,113.72, ,,,,
102,25, F, adult, ABA,1,24,102,1,22,1,1,587.64,158.81, ,,,,
102,25, F, adult, CDC,1,22,98,1,23,1,1,606.57,200.27, ,,,,
102,25, F, adult, AAA,0,23,100,1,24,1,1,463.19,183.86, ,,,,
102,25, F, adult, CCC,0,21,104,1,25,1,1,486.72,388.93, ,,,,
102,25, F, adult, AAA,0,23,100,1,26,1,1,397.79,254.24, ,,,,
102,25, F, adult, DCD,1,20,104,1,27,1,1,755.62,214.62, ,,,,
102,25, F, adult, AAA,0,23,100,1,28,1,1,419.98,213.68, ,,,,
102,25, F, adult, CDC,1,22,98,1,29,1,1,946.46,256.15, ,,,,
102,25, F, adult, AAA,0,23,100,1,30,1,1,446.22,158.06, ,,,,
102,25, F, adult, DDD,0,19,98,1,31,1,1,725.33,274.84, ,,,,
102,25, F, adult, AAA,0,23,100,1,32,1,1,439.76,199.18, ,,,,
102,25, F, adult, CCC,0,21,104,1,33,1,1,447.74,151.11, ,,,,
102,25, F, adult, AAA,0,23,100,1,34,1,1,414.88,288.58, ,,,,
102,25, F, adult, DCD,1,20,104,1,35,1,1,627.66,37.16, ,,,,
102,25, F, adult, BAB,1,26,100,1,36,1,1,595.08,20.69, ,,,,
102,25, F, adult, DDD,0,19,98,1,37,1,1,444.23,106.9, ,,,,
102,25, F, adult, BBB,0,25,102,1,38,1,1,454.74,0.4, ,,,,
102,25, F, adult, DCD,1,20,104,1,39,1,1,667.67,44.68, ,,,,
102,25, F, adult, BBB,0,25,102,1,40,1,1,449.75,168.03, ,,,,
102,25, F, adult, CDC,1,22,98,1,41,1,1,845.59,208.38, ,,,,
102,25, F, adult, BBB,0,25,102,1,42,1,1,456.2,102.71, ,,,,
102,25, F, adult, CCC,0,21,104,1,43,1,1,521.29,175.07, ,,,,
102,25, F, adult, ABA,1,24,102,1,44,1,1,727.61,123.5, ,,,,
102,25, F, adult, CDC,1,22,98,1,45,1,1,894.66,100.43, ,,,,
102,25, F, adult, AAA,0,23,100,1,46,1,1,461.54,182.98, ,,,,
102,25, F, adult, CCC,0,21,104,1,47,1,1,485.38,100.71, ,,,,
102,25, F, adult, AAA,0,23,100,1,48,1,1,495.38,180.92, ,,,,
102,25, F, adult, CCC,0,21,104,1,49,1,1,448.04,155.95, ,,,,
102,25, F, adult, ABA,1,24,102,1,50,1,1,565.37,55.68, ,,,,
102,25, F, adult, DDD,0,19,98,1,51,1,1,485.84,66.69, ,,,,
102,25, F, adult, BBB,0,25,102,1,52,1,1,435.62,223.93, ,,,,
102,25, F, adult, CDC,1,22,98,1,53,1,1,745.47,202.03, ,,,,
102,25, F, adult, BAB,1,26,100,1,54,1,1,593.09,98.45, ,,,,
102,25, F, adult, DDD,0,19,98,1,55,1,1,488.62,84.18, ,,,,
102,25, F, adult, BAB,1,26,100,1,56,1,1,695.76,253.14, ,,,,
102,25, F, adult, CDC,1,22,98,1,57,1,1,801.99,91.49, ,,,,
102,25, F, adult, BAB,1,26,100,1,58,1,1,534.14,123.17, ,,,,
102,25, F, adult, DCD,1,20,104,1,59,1,1,830.7,55.14, ,,,,
102,25, F, adult, BBB,0,25,102,1,60,1,1,508.57,377.3, ,,,,
102,25, F, adult, CDC,1,22,98,1,61,1,1,720.73,53.77, ,,,,
102,25, F, adult, BBB,0,25,102,1,62,1,1,418.9,51.45, ,,,,
102,25, F, adult, DCD,1,20,104,1,63,1,1,716.69,77.02, ,,,,
102,25, F, adult, ABA,1,24,102,1,64,1,1,651.52,136.8, ,,,,
102,25, F, adult, DCD,1,20,104,1,65,1,1,905.83,248.62, ,,,,
102,25, F, adult, ABA,1,24,102,1,66,1,1,558.2,160.91, ,,,,
102,25, F, adult, DDD,0,19,98,1,67,1,1,714.04,46.67, ,,,,
102,25, F, adult, BBB,0,25,102,1,68,1,1,421.29,108.3, ,,,,
102,25, F, adult, DCD,1,20,104,1,69,1,1,878.57,70.11, ,,,,
102,25, F, adult, AAA,0,23,100,1,70,1,1,395.75,148.43, ,,,,
102,25, F, adult, CDC,1,22,98,1,71,1,1,640.22,597.46, ,,,,
102,25, F, adult, BAB,1,26,100,1,72,1,1,566.16,79.96, ,,,,
102,25, F, adult, CCC,0,21,104,1,73,1,1,636.94,123.78, ,,,,
102,25, F, adult, ABA,1,24,102,1,74,1,1,542.24,65.28, ,,,,
102,25, F, adult, DCD,1,20,104,1,75,1,1,539.81,49.46, ,,,,
102,25, F, adult, ABA,1,24,102,1,76,1,1,520.95,35.28, ,,,,
102,25, F, adult, DCD,1,20,104,1,77,1,1,657.83,176.29, ,,,,
102,25, F, adult, ABA,1,24,102,1,78,1,1,543.43,60.65, ,,,,
102,25, F, adult, DDD,0,19,98,1,79,1,1,532.27,78.62, ,,,,
102,25, F, adult, BBB,0,25,102,1,80,1,1,403.62,59.31, ,,,,
102,25, F, adult, DDD,0,19,98,1,81,1,1,442.13,0.42, ,,,,
102,25, F, adult, ABA,1,24,102,1,82,1,1,510.75,0.42, ,,,,
102,25, F, adult, DDD,0,19,98,1,83,1,1,388.06,77.59, ,,,,
102,25, F, adult, AAA,0,23,100,1,84,1,1,465.55,0.4, ,,,,
102,25, F, adult, DCD,1,20,104,1,85,1,1,845.11,256.4, ,,,,
102,25, F, adult, BBB,0,25,102,1,86,1,1,405.38,279.38, ,,,,
102,25, F, adult, CDC,1,22,98,1,87,1,1,801.5,243.93, ,,,,
102,25, F, adult, ABA,1,24,102,1,88,1,1,655.7,264.18, ,,,,
102,25, F, adult, DDD,0,19,98,1,89,1,1,550.21,208.27, ,,,,
102,25, F, adult, ABA,1,24,102,1,90,1,1,559.95,12.03, ,,,,
102,25, F, adult, CDC,1,22,98,1,91,1,1,665.84,111.28, ,,,,
102,25, F, adult, BAB,1,26,100,1,92,1,1,699.05,111.68, ,,,,
102,25, F, adult, DDD,0,19,98,1,93,1,1,436.23,275.28, ,,,,
102,25, F, adult, AAA,0,23,100,1,94,1,1,570.42,225.72, ,,,,
102,25, F, adult, CCC,0,21,104,1,95,1,1,504.21,253.43, ,,,,
102,25, F, adult, BAB,1,26,100,1,96,1,1,754.51,293.82, ,,,,
102,25, F, adult, DDD,0,19,98,1,97,1,1,466.19,56.21, ,,,,
102,25, F, adult, DCD,1,20,104,1,1,2,1,746.47,358.23, ,,,,
102,25, F, adult, ABA,1,24,102,1,2,2,1,526.82,291.01, ,,,,
102,25, F, adult, CCC,0,21,104,1,3,2,1,430.89,0.4, ,,,,
102,25, F, adult, BBB,0,25,102,1,4,2,1,478.92,0.41, ,,,,
102,25, F, adult, DCD,1,20,104,1,5,2,1,724.09,257.45, ,,,,
102,25, F, adult, BAB,1,26,100,1,6,2,1,500.64,235.1, ,,,,
102,25, F, adult, DCD,1,20,104,1,7,2,1,450.46,80.8, ,,,,
102,25, F, adult, AAA,0,23,100,1,8,2,1,427.62,196.34, ,,,,
102,25, F, adult, CCC,0,21,104,1,9,2,1,483.53,65.49, ,,,,
102,25, F, adult, ABA,1,24,102,1,10,2,1,557.37,0.41, ,,,,
102,25, F, adult, DDD,0,19,98,1,11,2,1,599.55,41.82, ,,,,
102,25, F, adult, AAA,0,23,100,1,12,2,1,472.91,69.85, ,,,,
102,25, F, adult, CDC,1,22,98,1,13,2,1,756.69,134.27, ,,,,
102,25, F, adult, ABA,1,24,102,1,14,2,1,548.51,227.13, ,,,,
102,25, F, adult, CDC,1,22,98,1,15,2,1,1136.79,118.09, ,,,,
102,25, F, adult, AAA,0,23,100,1,16,2,1,470.58,30.15, ,,,,
102,25, F, adult, DCD,1,20,104,1,17,2,1,883.02,66.3, ,,,,
102,25, F, adult, BAB,1,26,100,1,18,2,1,797.81,120.1, ,,,,
102,25, F, adult, CCC,0,21,104,1,19,2,1,500.46,312.39, ,,,,
102,25, F, adult, BAB,1,26,100,1,20,2,1,589.78,196.95, ,,,,
102,25, F, adult, DCD,1,20,104,1,21,2,1,853.86,148.19, ,,,,
102,25, F, adult, BAB,1,26,100,1,22,2,1,589.04,0.41, ,,,,
102,25, F, adult, DDD,0,19,98,1,23,2,1,547.33,193.34, ,,,,
102,25, F, adult, ABA,1,24,102,1,24,2,1,596.59,74.94, ,,,,
102,25, F, adult, CCC,0,21,104,1,25,2,1,495.97,213.3, ,,,,
102,25, F, adult, AAA,0,23,100,1,26,2,1,485.11,225.86, ,,,,
102,25, F, adult, DCD,1,20,104,1,27,2,1,673.46,134.81, ,,,,
102,25, F, adult, AAA,0,23,100,1,28,2,1,473.26,183.16, ,,,,
102,25, F, adult, CCC,0,21,104,1,29,2,1,499.4,748.73, ,,,,
102,25, F, adult, BBB,0,25,102,1,30,2,1,460.98,237.68, ,,,,
102,25, F, adult, CDC,1,22,98,1,31,2,1,795.59,220.42, ,,,,
102,25, F, adult, BBB,0,25,102,1,32,2,1,498.64,248.11, ,,,,
102,25, F, adult, DDD,0,19,98,1,33,2,1,455.59,261.4, ,,,,
102,25, F, adult, BAB,1,26,100,1,34,2,1,794.99,132.43, ,,,,
102,25, F, adult, DCD,1,20,104,1,35,2,1,751.21,152.65, ,,,,
102,25, F, adult, AAA,0,23,100,1,36,2,1,545.62,293.92, ,,,,
102,25, F, adult, CCC,0,21,104,1,37,2,1,530.14,205.94, ,,,,
102,25, F, adult, BBB,0,25,102,1,38,2,1,482.58,99.67, ,,,,
102,25, F, adult, DDD,0,19,98,1,39,2,1,663.21,349.94, ,,,,
102,25, F, adult, BAB,1,26,100,1,40,2,1,574.47,241.09, ,,,,
102,25, F, adult, CCC,0,21,104,1,41,2,1,465.49,269.45, ,,,,
102,25, F, adult, AAA,0,23,100,1,42,2,1,467.17,272.48, ,,,,
102,25, F, adult, CCC,0,21,104,1,43,2,1,550.12,65.13, ,,,,
102,25, F, adult, BAB,1,26,100,1,44,2,1,841.45,84.59, ,,,,
102,25, F, adult, CCC,0,21,104,1,45,2,1,476.53,199.63, ,,,,
102,25, F, adult, ABA,1,24,102,1,46,2,1,582.94,56.01, ,,,,
102,25, F, adult, DDD,0,19,98,1,47,2,1,534.27,297.04, ,,,,
102,25, F, adult, ABA,1,24,102,1,48,2,1,563.21,71.4, ,,,,
102,25, F, adult, DDD,0,19,98,1,49,2,1,676.37,114.39, ,,,,
102,25, F, adult, BAB,1,26,100,1,50,2,1,598.36,334.12, ,,,,
102,25, F, adult, CCC,0,21,104,1,51,2,1,871.9,271.33, ,,,,
102,25, F, adult, AAA,0,23,100,1,52,2,1,483.98,337.72, ,,,,
102,25, F, adult, DCD,1,20,104,1,53,2,1,951.6,46.17, ,,,,
102,25, F, adult, ABA,1,24,102,1,54,2,1,500.8,152.44, ,,,,
102,25, F, adult, CDC,1,22,98,1,55,2,1,976.93,180.12, ,,,,
102,25, F, adult, AAA,0,23,100,1,56,2,1,492.83,129.78, ,,,,
102,25, F, adult, CCC,0,21,104,1,57,2,1,482.54,89.48, ,,,,
102,25, F, adult, ABA,1,24,102,1,58,2,1,580.12,96.29, ,,,,
102,25, F, adult, DDD,0,19,98,1,59,2,1,553.98,254.15, ,,,,
