subid, subage, gender, group, code, targ, resp, unknown, trial, block, Acc, RT, ts_RT, diff,
102,25, F, adult,1,9,32,132,33,1,1,616.54,613.7,2.83, 
102,25, F, adult,2,3,0,132,34,1,1,0,0,0, 
102,25, F, adult,1,1,32,132,35,1,1,463.5,460.77,2.72, 
102,25, F, adult,1,2,32,132,36,1,1,580.87,578.03,2.85, 
102,25, F, adult,1,7,32,132,37,1,1,463.07,460.04,3.04, 
102,25, F, adult,3,111,100,132,38,1,999,1765.51,1762.75,2.76, 
102,25, F, adult,1,9,32,132,39,1,1,416.86,412.82,4.04, 
102,25, F, adult,1,5,32,132,40,1,1,535.8,527.64,8.16, 
102,25, F, adult,1,9,32,132,41,1,1,397.03,394.1,2.93, 
102,25, F, adult,2,3,0,132,42,1,1,0,0,0, 
102,25, F, adult,1,7,32,132,43,1,1,373.73,369.55,4.18, 
102,25, F, adult,1,7,32,132,44,1,1,297.32,293.26,4.06, 
102,25, F, adult,1,6,32,132,45,1,1,265.3,262.49,2.8, 
102,25, F, adult,1,7,32,132,46,1,1,328.95,326.11,2.84, 
102,25, F, adult,1,5,32,132,47,1,1,605.2,602.5,2.71, 
102,25, F, adult,1,1,32,132,48,1,1,753.47,750.57,2.9, 
102,25, F, adult,1,2,32,132,49,1,1,667.44,664.23,3.21, 
102,25, F, adult,1,2,32,132,50,1,1,462.96,460.12,2.84, 
102,25, F, adult,1,9,32,132,51,1,1,458.51,455.49,3.02, 
102,25, F, adult,2,3,0,132,52,1,1,0,0,0, 
102,25, F, adult,1,7,32,132,53,1,1,352.72,349.92,2.79, 
102,25, F, adult,1,7,32,132,54,1,1,396.99,390.02,6.97, 
102,25, F, adult,1,8,32,132,55,1,1,332.42,325.08,7.33, 
102,25, F, adult,1,5,32,132,56,1,1,344.67,333.32,11.35, 
102,25, F, adult,1,9,32,132,57,1,1,349.56,345.42,4.14, 
102,25, F, adult,1,6,32,132,58,1,1,926.56,923.75,2.81, 
102,25, F, adult,1,7,32,132,59,1,1,675.35,672.61,2.74, 
102,25, F, adult,1,1,32,132,60,1,1,622.1,619.24,2.86, 
102,25, F, adult,1,2,32,132,61,1,1,976.68,973.86,2.82, 
102,25, F, adult,1,1,32,132,62,1,1,515.46,512.56,2.89, 
102,25, F, adult,1,8,32,132,63,1,1,641.73,638.81,2.92, 
102,25, F, adult,1,4,32,132,64,1,1,626.45,622.94,3.51, 
102,25, F, adult,2,3,0,132,65,1,1,0,0,0, 
102,25, F, adult,1,8,32,132,66,1,1,351.38,347.61,3.76, 
102,25, F, adult,1,5,32,132,67,1,1,286.08,282.41,3.68, 
102,25, F, adult,1,8,32,132,68,1,1,415.79,411.78,4.01, 
102,25, F, adult,1,9,32,132,69,1,1,404.64,400.49,4.15, 
102,25, F, adult,1,4,32,132,70,1,1,444.44,439.98,4.46, 
102,25, F, adult,3,111,100,132,71,1,999,1800,1796.89,3.12, 
102,25, F, adult,1,6,32,132,72,1,1,376.73,369.85,6.87, 
102,25, F, adult,1,1,32,132,73,1,1,400.64,396.11,4.52, 
102,25, F, adult,1,4,32,132,74,1,1,314.67,311.74,2.93, 
102,25, F, adult,2,3,0,132,75,1,1,0,0,0, 
102,25, F, adult,1,6,32,132,76,1,1,321.13,317.19,3.93, 
102,25, F, adult,1,6,32,132,77,1,1,277.12,273.63,3.49, 
102,25, F, adult,1,2,32,132,78,1,1,110.56,103.75,6.8, 
102,25, F, adult,1,6,32,132,79,1,1,394.55,390.41,4.14, 
102,25, F, adult,1,4,32,132,80,1,1,351.3,347.02,4.28, 
102,25, F, adult,1,9,32,132,81,1,1,446.52,442.38,4.14, 
102,25, F, adult,1,8,32,132,82,1,1,403.25,399.03,4.21, 
